unique.cellid,unique.drugid
NCI-H2029,5-FU
NCI-H2030,5-FU
NCI-H2052,5-FU
NCI-H2073,5-FU
NCI-H2081,5-FU
NCI-H2087,5-FU
NCI-H209,5-FU
NCI-H2107,5-FU
NCI-H2110,5-FU
NCI-H2122,5-FU
NCI-H2126,5-FU
NCI-H2141,5-FU
NCI-H2170,5-FU
NCI-H2171,5-FU
NCI-H2172,5-FU
NCI-H2196,5-FU
NCI-H2228,5-FU
NCI-H226,5-FU
NCI-H2286,5-FU
NCI-H23,5-FU
NCI-H2342,5-FU
NCI-H2347,5-FU
NCI-H2405,5-FU
NCI-H28,5-FU
NCI-H292,5-FU
NCI-H295,5-FU
NCI-H322,5-FU
NCI-H3255,5-FU
NCI-H358,5-FU
NCI-H441,5-FU
NCI-H446,5-FU
NCI-H460,5-FU
NCI-H508,5-FU
NCI-H510A,5-FU
NCI-H520,5-FU
NCI-H522,5-FU
NCI-H524,5-FU
NCI-H526,5-FU
NCI-H596,5-FU
NCI-H630,5-FU
NCI-H650,5-FU
NCI-H660,5-FU
NCI-H661,5-FU
NCI-H69,5-FU
NCI-H716,5-FU
NCI-H720,5-FU
NCI-H727,5-FU
NCI-H747,5-FU
NCI-H748,5-FU
NCI-H810,5-FU
NCI-H82,5-FU
NCI-H838,5-FU
NCI-H841,5-FU
NCI-N87,5-FU
NCI-SNU-1,5-FU
NCI-SNU-16,5-FU
NCI-SNU-5,5-FU
NOMO-1,5-FU
NU-DUL-1,5-FU
NUGC-4,5-FU
OAW-28,5-FU
OAW-42,5-FU
OC-314,5-FU
OCI-AML3,5-FU
OCI-LY-7,5-FU
OCI-LY10,5-FU
OCI-LY3,5-FU
OCUB-M,5-FU
OV-90,5-FU
OV56,5-FU
OV7,5-FU
OVCA 420,5-FU
OVCAR-3,5-FU
OVCAR-4,5-FU
OVCAR-5,5-FU
OVCAR-8,5-FU
OVK18,5-FU
P30-OHK,5-FU
P31-FUJ,5-FU
P3HR-1,5-FU
PA-TU-8902,5-FU
Panc 02.03,5-FU
Panc 02.13,5-FU
Panc 03.27,5-FU
Panc 04.03,5-FU
Panc 05.04,5-FU
Panc 08.13,5-FU
Panc 10.05,5-FU
PC-3,5-FU
PE/CA-PJ15,5-FU
PE/CA-PJ34 (clone C12),5-FU
PE/CA-PJ41 (clone D2),5-FU
PE/CA-PJ49,5-FU
PE01,5-FU
PL-21,5-FU
PL45,5-FU
PLC-PRF-5,5-FU
QGP-1,5-FU
Raji,5-FU
RCH-ACV,5-FU
RCM-1,5-FU
RD-ES,5-FU
REC-1,5-FU
REH,5-FU
RERF-LC-KJ,5-FU
RKO-E6,5-FU
RL95-2,5-FU
RMG-I,5-FU
RMUG-S,5-FU
RPMI-2650,5-FU
RPMI-6666,5-FU
RPMI-8226,5-FU
RS4;11,5-FU
RWPE1,5-FU
RXF393,5-FU
Saos-2,5-FU
SC-1,5-FU
SCaBER,5-FU
SCC-15,5-FU
SCC-25,5-FU
SCC-4,5-FU
SCC-9,5-FU
SCLC-21H,5-FU
Set-2,5-FU
SF268,5-FU
SF295,5-FU
SF539,5-FU
SH-10-TC,5-FU
SH-4,5-FU
SHP-77,5-FU
SiHa,5-FU
SJSA-1,5-FU
SK-BR-3,5-FU
SK-BR-5,5-FU
SK-BR-7,5-FU
SK-CO-1,5-FU
SK-LMS-1,5-FU
SK-LU-1,5-FU
SK-MEL-1,5-FU
SK-MEL-2,5-FU
SK-MEL-28,5-FU
SK-MEL-3,5-FU
SK-MEL-5,5-FU
SK-MES-1,5-FU
SK-N-AS,5-FU
SK-N-BE(2),5-FU
SK-N-DZ,5-FU
SK-N-FI,5-FU
SK-NEP-1,5-FU
SK-OV-3,5-FU
SK-UT-1,5-FU
SKM-1,5-FU
SN12C,5-FU
SNB19,5-FU
SNB75,5-FU
SNG-M,5-FU
SNU-1,5-FU
SNU-1040,5-FU
SNU-16,5-FU
SNU-175,5-FU
SNU-182,5-FU
SNU-387,5-FU
SNU-398,5-FU
SNU-423,5-FU
SNU-449,5-FU
SNU-475,5-FU
SNU-5,5-FU
SNU-61,5-FU
SNU-81,5-FU
SNU-840,5-FU
SNU-C2A,5-FU
SNU-C4,5-FU
SNU-C5,5-FU
Sq-1,5-FU
SR,5-FU
SU-DHL-10,5-FU
SU-DHL-16,5-FU
SU-DHL-4,5-FU
SU-DHL-5,5-FU
SU-DHL-6,5-FU
SU.86.86,5-FU
SUIT-2,5-FU
SUM 1315M02,5-FU
SUM 149PT,5-FU
SUM 159PT,5-FU
SUM 229PE,5-FU
SUM225CWN,5-FU
SUM 52PE,5-FU
SUM102PT,5-FU
SUM185PE,5-FU
SUM44PE,5-FU
SW 1271,5-FU
SW 1353,5-FU
SUM 190,5-FU
SW 527,5-FU
SW1088,5-FU
SW1116,5-FU
SW13,5-FU
SW1417,5-FU
SW1463,5-FU
SW1573,5-FU
SW1710,5-FU
SW1783,5-FU
SW1990,5-FU
SW403,5-FU
SW48,5-FU
SW480,5-FU
SW620,5-FU
SW626,5-FU
SW780,5-FU
SW837,5-FU
SW900,5-FU
SW948,5-FU
SW982,5-FU
T-24,5-FU
T3M-10,5-FU
T47D,5-FU
TE 125.T,5-FU
TE 159.T,5-FU
TE 441.T,5-FU
TE 617.T,5-FU
THP-1,5-FU
TI-73,5-FU
TK10,5-FU
TO 175.T,5-FU
Toledo,5-FU
TYK-nu,5-FU
U-118-MG,5-FU
U-138 MG,5-FU
U-2-OS,5-FU
U-266,5-FU
U-87-MG,5-FU
U-937,5-FU
U251,5-FU
UACC-257,5-FU
UACC-3199,5-FU
UACC-62,5-FU
UACC-812,5-FU
UACC-893,5-FU
UM-UC-3,5-FU
UMC-11,5-FU
UO31,5-FU
VCaP,5-FU
VM-CUB-1,5-FU
VMRC-LCD,5-FU
VMRC-RCW,5-FU
WIDR,5-FU
WM-115,5-FU
WM-266-4,5-FU
WM-793,5-FU
WM-983B,5-FU
WSU-DLCL2,5-FU
YKG-1,5-FU
ZR-75-1,5-FU
ZR-75-30,5-FU
ZR75B,5-FU
184A1,ABT-263
184B5,ABT-263
22RV1,ABT-263
23132-87,ABT-263
600MPE,ABT-263
639-V,ABT-263
647-V,ABT-263
769-P,ABT-263
786-0,ABT-263
A204,ABT-263
A253,ABT-263
A3-KAW,ABT-263
A375,ABT-263
A4-Fuk,ABT-263
A427,ABT-263
A431,ABT-263
A498,ABT-263
A549,ABT-263
A673,ABT-263
A704,ABT-263
ACHN,ABT-263
AMO-1,ABT-263
AN3-CA,ABT-263
ARH-77,ABT-263
AsPC-1,ABT-263
AU565,ABT-263
AU655,ABT-263
BC-1,ABT-263
BC-2,ABT-263
BC-3,ABT-263
BCPAP,ABT-263
BDCM,ABT-263
BE(2)-C,ABT-263
BEWO,ABT-263
BFTC-905,ABT-263
BHT-101,ABT-263
BICR 10,ABT-263
BICR 16,ABT-263
BICR 18,ABT-263
BICR 22,ABT-263
BICR 31,ABT-263
BICR 56,ABT-263
BICR 6,ABT-263
BICR 78,ABT-263
BL-70,ABT-263
BPH-1,ABT-263
BT-20,ABT-263
BT-474,ABT-263
BT-483,ABT-263
BT-549,ABT-263
BV-173,ABT-263
BxPC-3,ABT-263
C-33-A,ABT-263
C-4 I,ABT-263
C-4-II,ABT-263
C2BBe1,ABT-263
C32,ABT-263
Ca-Ski,ABT-263
CAKI-1,ABT-263
Caki-2,ABT-263
CAL-120,ABT-263
CAL-12T,ABT-263
CAL-148,ABT-263
CAL-27,ABT-263
CAL-51,ABT-263
CAL-54,ABT-263
CAL-62,ABT-263
CAL-85-1,ABT-263
Calu-1,ABT-263
Calu-3,ABT-263
Calu-6,ABT-263
CAMA-1,ABT-263
Caov-3,ABT-263
CAPAN-1,ABT-263
Capan-2,ABT-263
CCF-STTG1,ABT-263
CCRF-CEM,ABT-263
CEMC1,ABT-263
CFPAC-1,ABT-263
CGTH-W-1,ABT-263
ChaGo-K-1,ABT-263
CHL-1,ABT-263
CHP-212,ABT-263
CL-34,ABT-263
CL-40,ABT-263
CML-T1,ABT-263
COLO 201,ABT-263
COLO 320DM,ABT-263
COLO-205,ABT-263
COLO-320-HSR,ABT-263
COLO-668,ABT-263
COLO-678,ABT-263
COLO-679,ABT-263
COLO-680N,ABT-263
COLO-684,ABT-263
COLO-699,ABT-263
COLO-704,ABT-263
COLO-741,ABT-263
COLO-792,ABT-263
COLO-800,ABT-263
COLO-824,ABT-263
COLO-829,ABT-263
COLO-849,ABT-263
COR-L105,ABT-263
COR-L23,ABT-263
COR-L279,ABT-263
COR-L51,ABT-263
COR-L88,ABT-263
CRO-AP2,ABT-263
CRO-AP5,ABT-263
CW-2,ABT-263
D-283MED,ABT-263
D341 Med,ABT-263
Daudi,ABT-263
DBTRG-05MG,ABT-263
Detroit562,ABT-263
DG-75,ABT-263
DK-MG,ABT-263
DLD-1,ABT-263
DMS 454,ABT-263
DMS-114,ABT-263
DMS-153,ABT-263
DMS-273,ABT-263
DMS-53,ABT-263
DMS-79,ABT-263
DOHH-2,ABT-263
DoTc2-4510,ABT-263
DU-145,ABT-263
DU-4475,ABT-263
DV-90,ABT-263
EB-3,ABT-263
EBC-1,ABT-263
EFM-19,ABT-263
EFM-192A,ABT-263
EFM-192B,ABT-263
EFM-192C,ABT-263
EFO-21,ABT-263
EFO-27,ABT-263
EKVX,ABT-263
EM-2,ABT-263
EoL-1-cell,ABT-263
EPLC-272H,ABT-263
ES-2,ABT-263
EVSA-T,ABT-263
FADU,ABT-263
G-292 clone A141B1,ABT-263
G-361,ABT-263
G-401,ABT-263
G-402,ABT-263
GA-10,ABT-263
GA-10 (Clone 20),ABT-263
GDM-1,ABT-263
Gp2D,ABT-263
HBL-100,ABT-263
HCC-1171,ABT-263
HCC-1195,ABT-263
HCC-1359,ABT-263
HCC-15,ABT-263
HCC-1833,ABT-263
HCC-2108,ABT-263
HCC-2279,ABT-263
HCC-33,ABT-263
HCC-366,ABT-263
HCC-44,ABT-263
HCC-78,ABT-263
HCC1008,ABT-263
HCC1143,ABT-263
HCC1187,ABT-263
HCC1395,ABT-263
HCC1419,ABT-263
HCC1428,ABT-263
HCC1500,ABT-263
HCC1569,ABT-263
HCC1599,ABT-263
HCC1806,ABT-263
HCC1937,ABT-263
HCC1954,ABT-263
HCC202,ABT-263
HCC2185,ABT-263
HCC2218,ABT-263
HCC2688,ABT-263
HCC2998,ABT-263
HCC3153,ABT-263
HCC38,ABT-263
HCC70,ABT-263
HCC712,ABT-263
HCC812,ABT-263
HCC827,ABT-263
HCT-116,ABT-263
HCT-15,ABT-263
HCT-8,ABT-263
HD-MY-Z,ABT-263
HDQ-P1,ABT-263
HEC-1,ABT-263
HEC-1-A,ABT-263
HEC-108,ABT-263
HEC-151,ABT-263
HEC-251,ABT-263
HEC-265,ABT-263
HEC-59,ABT-263
HEC-6,ABT-263
HEK TE,ABT-263
HEL 92.1.7,ABT-263
HeLa,ABT-263
Hep 3B2.1-7,ABT-263
Hep G2,ABT-263
HEY,ABT-263
Hey-A8,ABT-263
HL-60,ABT-263
HMV-II,ABT-263
HOP-62,ABT-263
